City,Date,Card Type,Exp Type,Gender,Amount,description
"Delhi, India",2014-10-29,Gold,Bills,F,82475,"Spent on Bills using Gold in Delhi, India"
"Greater Mumbai, India",2014-08-22,Platinum,Bills,F,32555,"Spent on Bills using Platinum in Greater Mumbai, India"
"Bengaluru, India",2014-08-27,Silver,Bills,F,101738,"Spent on Bills using Silver in Bengaluru, India"
"Greater Mumbai, India",2014-04-12,Signature,Bills,F,123424,"Spent on Bills using Signature in Greater Mumbai, India"
"Bengaluru, India",2015-05-05,Gold,Bills,F,171574,"Spent on Bills using Gold in Bengaluru, India"
"Delhi, India",2014-09-08,Silver,Bills,F,100036,"Spent on Bills using Silver in Delhi, India"
"Delhi, India",2015-02-24,Gold,Bills,F,143250,"Spent on Bills using Gold in Delhi, India"
"Greater Mumbai, India",2014-06-26,Platinum,Bills,F,150980,"Spent on Bills using Platinum in Greater Mumbai, India"
"Delhi, India",2014-03-28,Silver,Bills,F,192247,"Spent on Bills using Silver in Delhi, India"
"Delhi, India",2014-09-01,Platinum,Bills,F,67932,"Spent on Bills using Platinum in Delhi, India"
"Delhi, India",2014-06-22,Platinum,Bills,F,280061,"Spent on Bills using Platinum in Delhi, India"
"Greater Mumbai, India",2013-12-07,Signature,Bills,F,278036,"Spent on Bills using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2014-08-07,Gold,Bills,F,19226,"Spent on Bills using Gold in Greater Mumbai, India"
"Delhi, India",2014-04-27,Signature,Bills,F,254359,"Spent on Bills using Signature in Delhi, India"
"Greater Mumbai, India",2014-08-15,Signature,Bills,F,302834,"Spent on Bills using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2014-11-28,Platinum,Bills,F,647116,"Spent on Bills using Platinum in Greater Mumbai, India"
"Greater Mumbai, India",2014-06-14,Signature,Bills,F,421878,"Spent on Bills using Signature in Greater Mumbai, India"
"Greater Mumbai, India",2015-03-30,Gold,Bills,F,986379,"Spent on Bills using Gold in Greater Mumbai, India"
"Greater Mumbai, India",2014-03-15,Platinum,Bills,F,213047,"Spent on Bills using Platinum in Greater Mumbai, India"
"Greater Mumbai, India",2013-11-09,Platinum,Bills,F,735566,"Spent on Bills using Platinum in Greater Mumbai, India"
"Delhi, India",2014-04-04,Signature,Bills,F,366102,"Spent on Bills using Signature in Delhi, India"
"Delhi, India",2014-07-01,Signature,Bills,F,809623,"Spent on Bills using Signature in Delhi, India"
"Greater Mumbai, India",2015-03-27,Silver,Bills,F,467014,"Spent on Bills using Silver in Greater Mumbai, India"
"Ahmedabad, India",2013-10-11,Gold,Bills,F,668568,"Spent on Bills using Gold in Ahmedabad, India"
"Ahmedabad, India",2014-03-26,Gold,Bills,F,339112,"Spent on Bills using Gold in Ahmedabad, India"
"Delhi, India",2014-09-27,Silver,Bills,F,622170,"Spent on Bills using Silver in Delhi, India"
"Bengaluru, India",2014-03-23,Platinum,Bills,F,434427,"Spent on Bills using Platinum in Bengaluru, India"
"Greater Mumbai, India",2014-05-17,Signature,Bills,F,655846,"Spent on Bills using Signature in Greater Mumbai, India"
"Bengaluru, India",2015-01-18,Platinum,Bills,F,987935,"Spent on Bills using Platinum in Bengaluru, India"
"Delhi, India",2015-04-18,Gold,Bills,F,702774,"Spent on Bills using Gold in Delhi, India"
"Bengaluru, India",2014-07-31,Signature,Bills,F,225392,"Spent on Bills using Signature in Bengaluru, India"
"Greater Mumbai, India",2015-02-11,Gold,Bills,F,296573,"Spent on Bills using Gold in Greater Mumbai, India"
"Ahmedabad, India",2013-11-24,Platinum,Bills,F,227702,"Spent on Bills using Platinum in Ahmedabad, India"
"Ahmedabad, India",2014-11-08,Gold,Bills,F,864090,"Spent on Bills using Gold in Ahmedabad, India"
"Ahmedabad, India",2014-09-06,Signature,Bills,F,440605,"Spent on Bills using Signature in Ahmedabad, India"
"Ahmedabad, India",2015-03-24,Platinum,Bills,F,954660,"Spent on Bills using Platinum in Ahmedabad, India"
"Ahmedabad, India",2014-01-01,Signature,Bills,F,255577,"Spent on Bills using Signature in Ahmedabad, India"
"Ahmedabad, India",2014-07-12,Silver,Bills,F,337352,"Spent on Bills using Silver in Ahmedabad, India"
"Ahmedabad, India",2014-02-04,Platinum,Bills,F,660244,"Spent on Bills using Platinum in Ahmedabad, India"
"Delhi, India",2015-02-03,Silver,Bills,F,401351,"Spent on Bills using Silver in Delhi, India"
"Delhi, India",2013-10-27,Platinum,Bills,F,678842,"Spent on Bills using Platinum in Delhi, India"
"Delhi, India",2014-05-11,Gold,Bills,F,478861,"Spent on Bills using Gold in Delhi, India"
"Bengaluru, India",2014-11-10,Platinum,Bills,F,804938,"Spent on Bills using Platinum in Bengaluru, India"
"Delhi, India",2015-01-30,Silver,Bills,F,888341,"Spent on Bills using Silver in Delhi, India"
"Bengaluru, India",2014-04-19,Platinum,Bills,F,262414,"Spent on Bills using Platinum in Bengaluru, India"
"Bengaluru, India",2014-09-08,Gold,Bills,F,249353,"Spent on Bills using Gold in Bengaluru, India"
